Name,Disaster,Costs,Deaths,Year,Month
Hurricane Floyd (September 1999),Tropical Cyclone,11294.4,77,1999,9
Southeast Winter Storm (January 2000),Winter Storm,1221.5,4,2000,1
Southern Severe Weather (March 2000),Severe Storm,1179.9,0,2000,3
Western Fire Season (Spring-Summer 2000),Wildfire,1838.4,0,2000,8
South Florida Flooding (October 2000),Flooding,1512,3,2000,10
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,8645.1,140,2000,11
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,5106.5,3,2001,4
North Central Severe Weather (May 2001),Severe Storm,1107.3,0,2001,5
Tropical Storm Allison (June 2001),Tropical Cyclone,13976.1,43,2001,6
Severe Storms and Tornadoes (April 2002),Severe Storm,3412.8,7,2002,4
Hurricane Lili (October 2002),Tropical Cyclone,1789.3,2,2002,8
Tropical Storm Isidore (September 2002),Tropical Cyclone,1851.5,5,2002,9
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,1159.2,28,2002,11
Western Fire Season (Fall 2002),Wildfire,2129.9,21,2002,11
U.S. Drought (Spring-Fall 2002),Drought,14860.7,0,2002,11
Severe Storms/Hail (April 2003),Severe Storm,3190,3,2003,4
Severe Storms/Tornadoes (May 2003),Severe Storm,6564.2,51,2003,5
Midwest/Plains Severe Weather (July 2003),Severe Storm,1364.3,7,2003,7
Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,1603.1,7,2003,7
Hurricane Isabel (September 2003),Tropical Cyclone,8664.8,55,2003,9
Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,8078.7,35,2003,11
California Wildfires (Fall 2003),Wildfire,6146.7,22,2003,11
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,1571.7,4,2004,5
Colorado Hail Storms (June 2004),Severe Storm,1070.3,0,2004,6
Hurricane Charley (August 2004),Tropical Cyclone,24639.2,35,2004,8
Hurricane Frances (September 2004),Tropical Cyclone,15092,48,2004,9
Hurricane Ivan (September 2004),Tropical Cyclone,31570.9,57,2004,9
Hurricane Jeanne (September 2004),Tropical Cyclone,11544.8,28,2004,9
Southeast Severe Weather (March 2005),Severe Storm,1306.3,0,2005,3
Hurricane Dennis (July 2005),Tropical Cyclone,3742.5,15,2005,7
Hurricane Katrina (August 2005),Tropical Cyclone,186294,1833,2005,8
Midwest Drought (Spring-Summer 2005),Drought,2256.5,0,2005,8
Hurricane Rita (September 2005),Tropical Cyclone,27195.1,119,2005,9
Hurricane Wilma (October 2005),Tropical Cyclone,27930,35,2005,10
Severe Storms and Tornadoes (March 2006),Severe Storm,1952.9,10,2006,3
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,2325.7,10,2006,4
Midwest Tornadoes (April 2006),Severe Storm,3514.2,27,2006,4
Northeast Flooding (June 2006),Flooding,2191,20,2006,6
North Central Severe Weather and Tornadoes (August 2006),Severe Storm,1085.5,1,2006,8
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,8817.1,0,2006,8
Central Severe Weather (October 2006),Severe Storm,1274.7,1,2006,10
Numerous Wildfires (2006),Wildfire,2156.7,28,2006,12
California Freeze (January 2007),Freeze,2016,1,2007,1
Spring Freeze (April 2007),Freeze,2943.5,0,2007,4
East/South Severe Weather and Flooding (April 2007),Severe Storm,3536,9,2007,4
Western Wildfires (Summer 2007),Wildfire,3837.9,12,2007,8
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,5095.2,15,2007,11
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,1355.2,12,2008,1
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,1671.9,57,2008,2
Southeast Tornadoes (March 2008),Severe Storm,1549.5,5,2008,3
Southern Severe Weather (April 2008),Severe Storm,1413.9,2,2008,4
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,4089.9,13,2008,5
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2192.1,18,2008,6
Midwest Flooding (Summer 2008),Flooding,13742.6,24,2008,6
Hurricane Dolly (July 2008),Tropical Cyclone,1685.5,3,2008,7
Hurricane Gustav (September 2008),Tropical Cyclone,7976,53,2008,9
